2020-01-19 21:06:04	Start
2020-01-19 21:06:08	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
2.807	-0.045490	1.869871	7.307104	7.542695	0.365	1.193	9.011	9.134
2.827	-0.526724	2.039860	7.319075	7.616254	-0.011	1.620	8.143	8.329
2.847	-0.749385	2.140416	7.491457	7.827189	-0.278	1.907	7.581	7.836
2.867	-0.579397	2.183512	7.745243	8.067974	-0.475	2.058	7.466	7.764
2.889	-0.440533	2.279280	8.271967	8.591544	-0.574	2.161	7.707	8.026
2.912	-0.088585	2.384625	9.155427	9.461296	-0.464	2.247	8.166	8.487
2.928	0.347159	2.401384	9.868899	10.162792	-0.190	2.312	8.760	9.071
2.948	0.857124	2.372654	10.268731	10.574072	0.169	2.359	9.391	9.697
2.973	0.835576	2.310405	10.654198	10.933804	0.488	2.367	9.987	10.283
2.993	0.385466	2.025495	11.432313	11.616755	0.606	2.277	10.556	10.822
3.009	-0.184354	1.805228	11.710040	11.849805	0.473	2.128	11.016	11.244
3.029	-0.057461	1.786075	11.276690	11.417403	0.245	1.982	11.268	11.454
3.049	-0.342371	2.719813	10.060435	10.427222	-0.050	2.084	11.120	11.328
3.071	-0.332794	2.664747	9.174581	9.559527	-0.229	2.244	10.555	10.813
3.091	-0.179565	1.790863	9.737218	9.902164	-0.228	2.240	10.062	10.327
3.109	0.122104	0.995988	11.542446	11.585981	-0.183	2.043	10.129	10.369
3.129	0.354342	0.588974	12.974179	12.992374	-0.009	1.510	10.857	11.010
3.150	0.158017	1.041478	11.173739	11.223284	0.114	1.104	11.357	11.426
3.169	-0.213084	1.563414	8.528147	8.672886	0.105	1.047	11.055	11.119
3.189	-0.806846	2.063802	7.129933	7.466339	-0.127	1.314	9.951	10.089
3.209	-0.986411	1.592144	7.783550	8.005721	-0.462	1.565	8.654	8.842
3.229	-0.390255	0.612916	9.605537	9.632980	-0.599	1.458	8.262	8.444
3.253	0.244209	0.409408	11.470620	11.480522	-0.485	1.170	8.997	9.146
3.270	0.304064	0.445322	10.838552	10.851957	-0.207	0.765	9.925	9.993
3.292	0.766145	0.739808	8.552089	8.618150	0.231	0.552	10.117	10.146
3.319	0.919373	1.312023	7.026982	7.207297	0.558	0.727	9.472	9.539
3.331	0.471658	1.793257	6.375759	6.639920	0.615	1.073	8.198	8.329
3.351	0.289698	2.118869	6.794744	7.123348	0.612	1.491	7.187	7.397
3.373	0.335188	2.260126	7.438785	7.781776	0.504	1.871	6.909	7.188
3.399	0.143652	2.152387	8.173804	8.453667	0.310	2.081	7.196	7.500
3.411	0.076614	2.070984	8.777143	9.018486	0.211	2.151	7.796	8.094
3.431	-0.002394	2.059013	9.370906	9.594447	0.138	2.136	8.440	8.712
3.453	-0.083797	1.934515	9.993398	10.179261	0.034	2.054	9.079	9.311
3.472	-0.074220	1.833959	10.594342	10.752163	-0.021	1.975	9.684	9.886
3.492	-0.217872	1.821988	10.855310	11.009308	-0.095	1.912	10.203	10.384
3.512	-0.047884	1.867477	10.757148	10.918150	-0.106	1.864	10.550	10.715
3.536	0.160412	2.018312	10.412383	10.607405	-0.045	1.885	10.655	10.822
3.552	0.114922	2.779668	9.730036	10.119949	0.002	2.122	10.439	10.664
3.570	0.143652	2.820370	9.062054	9.491888	0.093	2.371	9.990	10.284
3.591	0.524330	2.382231	9.011775	9.336061	0.236	2.500	9.554	9.889
3.611	1.051055	2.118869	10.079589	10.353378	0.458	2.525	9.471	9.825
3.631	1.091756	1.000776	11.745954	11.838957	0.703	2.081	9.975	10.255
3.650	1.244985	0.371101	12.732365	12.798469	0.978	1.468	10.892	11.082
3.672	0.720655	0.363919	11.887212	11.914595	1.027	0.964	11.611	11.726
3.703	0.524330	0.840365	9.449914	9.501684	0.895	0.644	11.454	11.513
3.712	0.311246	1.113304	7.656657	7.743431	0.700	0.672	10.432	10.490
3.735	0.225055	1.410185	7.398083	7.534647	0.445	0.932	9.098	9.174
3.751	0.246603	1.290475	8.576031	8.676084	0.327	1.164	8.270	8.364
3.773	0.263362	0.811634	9.509769	9.547975	0.262	1.156	8.285	8.376
3.792	0.426168	0.148441	10.419566	10.429334	0.290	0.915	8.976	9.047
3.811	0.569820	0.227449	11.168951	11.185790	0.376	0.620	9.919	9.960
3.831	0.349553	0.404620	11.322180	11.334799	0.402	0.398	10.605	10.624
3.851	-0.258574	0.962469	9.801862	9.852396	0.272	0.436	10.678	10.701
3.873	-0.177171	1.283292	8.042124	8.145796	0.121	0.719	10.084	10.130
3.891	-0.335188	1.589750	6.837840	7.028208	-0.105	1.060	9.001	9.090
3.911	-0.486023	1.826776	6.617573	6.882267	-0.314	1.416	7.825	7.977
3.931	-0.665588	1.917756	7.046135	7.332723	-0.416	1.654	7.136	7.347
3.951	-0.567426	2.023100	7.496245	7.785153	-0.514	1.839	6.999	7.257
3.971	-0.433351	2.178724	7.862558	8.170340	-0.538	1.987	7.256	7.543
3.992	-0.222661	2.279280	8.401254	8.707799	-0.472	2.100	7.702	7.999
4.024	-0.023942	2.245761	8.892065	9.171305	-0.312	2.182	8.163	8.459
4.031	0.344765	2.169147	9.313444	9.568924	-0.084	2.218	8.617	8.905
4.052	0.699107	2.109292	9.904813	10.151019	0.199	2.201	9.128	9.400
4.071	0.806846	2.176329	10.771513	11.018752	0.457	2.175	9.720	9.977
4.092	0.713472	2.133234	11.089942	11.315765	0.641	2.147	10.270	10.514
4.110	0.387861	2.030283	11.137826	11.328003	0.652	2.112	10.726	10.953
4.130	0.098162	2.329558	10.680533	10.932075	0.502	2.167	10.920	11.149
4.150	-0.301669	2.566584	9.334992	9.686095	0.224	2.265	10.561	10.815
4.180	-0.047884	2.705448	8.791509	9.198498	0.034	2.408	9.986	10.286
4.192	0.761356	1.774103	10.424355	10.601616	0.127	2.344	9.808	10.105
4.210	0.914585	1.362301	12.310986	12.419850	0.332	2.102	10.215	10.477
4.231	0.136469	1.185130	12.516887	12.573608	0.441	1.757	11.011	11.198
4.250	-0.205901	1.458069	10.398018	10.501768	0.402	1.445	11.413	11.524
4.272	-0.411803	1.872266	8.176199	8.397927	0.108	1.469	10.851	10.973
4.290	-0.797269	2.068590	7.074866	7.414070	-0.320	1.646	9.541	9.722
4.310	-0.701501	1.829170	7.129933	7.394181	-0.529	1.807	8.195	8.427
4.331	0.610521	1.601721	9.270349	9.427492	-0.325	1.843	7.913	8.158
4.351	1.189918	1.647211	11.664551	11.840227	0.075	1.787	8.785	9.019
4.371	1.175553	1.532289	12.023681	12.177796	0.569	1.653	10.022	10.210
4.392	1.197101	1.482011	10.125079	10.302749	1.043	1.566	10.771	10.937
4.430	1.158794	1.747767	8.552089	8.805437	1.180	1.602	10.591	10.782
4.433	0.809240	1.869871	8.185776	8.435533	1.085	1.658	9.722	9.930
4.451	0.548272	2.114080	8.501810	8.777854	0.928	1.803	8.841	9.080
4.472	0.316035	2.035071	8.233660	8.487317	0.708	1.942	8.368	8.627
4.491	0.421380	1.989582	8.774749	9.007342	0.524	2.002	8.424	8.677
4.512	0.418985	2.032677	9.277532	9.506835	0.426	2.043	8.697	8.945
4.532	0.591368	2.157176	9.756371	10.009491	0.437	2.054	9.011	9.253
4.551	0.890643	2.193089	10.098742	10.372438	0.581	2.093	9.477	9.724
4.570	0.545878	2.269703	10.357317	10.617135	0.612	2.163	9.872	10.126
4.671	0.814029	2.197877	9.646238	9.926894	0.710	2.204	9.965	10.231
4.671	1.424550	2.197877	10.371682	10.697280	0.919	2.215	10.118	10.403
4.671	1.450886	2.111686	10.939108	11.235140	1.059	2.194	10.329	10.619
4.678	1.479617	2.159570	10.711658	11.026905	1.292	2.167	10.417	10.722
4.678	0.579397	1.917756	9.615114	9.821604	1.234	2.097	10.409	10.695
4.725	-0.009577	1.793257	8.576031	8.761516	0.875	1.996	9.960	10.211
4.725	-0.026336	1.738190	7.785944	7.977651	0.506	1.902	9.172	9.397
